Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Эдуард Толочко Васильевич, Дата Рождения: 1981-02-03, Место рождения Стрежевой, Номер паспорта: 1204011
Имя: Ленар Фокин Михайлович, Дата Рождения: 1995-08-08, Место рождения Джетыгара, Номер паспорта: 2605030
Имя: Филипп Нестеров Леонидович, Дата Рождения: 1979-10-22, Место рождения Тында, Номер паспорта: 3607053
Имя: Корнелий Коровяк Евгеньевич, Дата Рождения: 1989-01-02, Место рождения Славгород, Номер паспорта: 5900029
Имя: Станислав Буров Михайлович, Дата Рождения: 1981-06-04, Место рождения Шарыпово, Номер паспорта: 3307009
Имя: Назар Жуков Борисович, Дата Рождения: 1995-06-17, Место рождения Пангоды, Номер паспорта: 4604015
Имя: Алексей Самойлов Васильевич, Дата Рождения: 1987-12-11, Место рождения Махачкала, Номер паспорта: 4604015
Имя: Юлиан Трясило Юхимович, Дата Рождения: 1985-12-21, Место рождения Надым, Номер паспорта: 4401058
Имя: Сергей Карпенко-Карый Артёмович, Дата Рождения: 1989-01-02, Место рождения Углич, Номер паспорта: 2402014
Имя: Зуфар Дмитриев Брониславович, Дата Рождения: 1982-04-05, Место рождения Рыбинск, Номер паспорта: 2811056
Имя: Стефан Гребневский Петрович, Дата Рождения: 1980-01-12, Место рождения Караганда, Номер паспорта: 5606049
Имя: Евстахий Лихачёв Ярославович, Дата Рождения: 1998-03-26, Место рождения Сарыагач, Номер паспорта: 0600056
Имя: Эрик Третьяков Платонович, Дата Рождения: 1979-10-22, Место рождения Очёр, Номер паспорта: 0909067
Имя: Прохор Рымар Дмитриевич, Дата Рождения: 1994-03-18, Место рождения Михайловка, Номер паспорта: 2010011
Имя: Цефас Горшков Сергеевич, Дата Рождения: 1992-01-20, Место рождения Смоленск, Номер паспорта: 3307009
Имя: Устин Горбунов Романович, Дата Рождения: 1975-01-10, Место рождения Минск, Номер паспорта: 4203049
Имя: Цефас Козлов Андреевич, Дата Рождения: 1992-03-07, Место рождения Луга, Номер паспорта: 1506060
Имя: Сава Зайцев Евгеньевич, Дата Рождения: 1991-07-20, Место рождения Людиново, Номер паспорта: 0600056
Имя: Август Кулибаба Романович, Дата Рождения: 1979-10-22, Место рождения Орёл, Номер паспорта: 6310002
Имя: Марк Субботин Брониславович, Дата Рождения: 1985-06-08, Место рождения Тихвин, Номер паспорта: 4408066
Имя: Динар Кулибаба Борисович, Дата Рождения: 1996-07-10, Место рождения Череповец, Номер паспорта: 1506060
Имя: Чеслав Горшков Евгеньевич, Дата Рождения: 1981-01-08, Место рождения Островной, Номер паспорта: 5907067
Имя: Филипп Нестеров Анатолиевич, Дата Рождения: 1981-06-04, Место рождения Рубцовск, Номер паспорта: 0909067
Имя: Глеб Толочко Леонидович, Дата Рождения: 1982-04-05, Место рождения Шарыпово, Номер паспорта: 5900029
Имя: Динар Тихонов Юхимович, Дата Рождения: 1991-10-09, Место рождения Можга, Номер паспорта: 4401058
Имя: Роман Котов Андреевич, Дата Рождения: 1975-11-12, Место рождения Самара, Номер паспорта: 1401067
Имя: Милан Козлов Валериевич, Дата Рождения: 1980-01-12, Место рождения Уфа, Номер паспорта: 4408066
Имя: Иосиф Галкин Львович, Дата Рождения: 1995-05-13, Место рождения Отрадная, Номер паспорта: 2402014
Имя: Жерар Фокин Дмитриевич, Дата Рождения: 1980-03-01, Место рождения Михайловка, Номер паспорта: 2402014
Имя: Алексей Блинов Петрович, Дата Рождения: 1979-10-22, Место рождения Астана, Номер паспорта: 3607053
Имя: Никита Зиновьев Леонидович, Дата Рождения: 1996-11-13, Место рождения Муром, Номер паспорта: 3307009
Имя: Динар Попов Владимирович, Дата Рождения: 1997-06-04, Место рождения Витебск, Номер паспорта: 4203049
Имя: Михаил Красинец Романович, Дата Рождения: 1986-07-29, Место рождения Минусинск, Номер паспорта: 8505054
Имя: Филипп Горобчук Дмитриевич, Дата Рождения: 1983-06-13, Место рождения Чебоксары, Номер паспорта: 2811056
Имя: Цицерон Савельев Леонидович, Дата Рождения: 1990-11-10, Место рождения Караганда, Номер паспорта: 7008041
Имя: Леонард Дмитриев Евгеньевич, Дата Рождения: 1989-08-31, Место рождения Ханты-Мансийск, Номер паспорта: 2105065
Имя: Остап Брагин Евгеньевич, Дата Рождения: 1995-08-08, Место рождения Мядель, Номер паспорта: 6310002
Имя: Глеб Забужко Данилович, Дата Рождения: 1975-01-10, Место рождения Лазоревское, Номер паспорта: 9311044
Имя: Филипп Уваров Борисович, Дата Рождения: 1994-03-18, Место рождения Степногорск, Номер паспорта: 4305015
Имя: Святослав Макаров Алексеевич, Дата Рождения: 1980-03-01, Место рождения Рыбинск, Номер паспорта: 3607053
Имя: Ждан Семёнов Платонович, Дата Рождения: 1986-12-24, Место рождения Миасс, Номер паспорта: 2402014
Имя: Прохор Ерёменко Виталиевич, Дата Рождения: 1988-08-26, Место рождения Павловский Посад, Номер паспорта: 4604015
Имя: Станислав Горшков Романович, Дата Рождения: 1979-10-22, Место рождения Оренбург, Номер паспорта: 3307009
Имя: Дан Зайцев Борисович, Дата Рождения: 1975-01-10, Место рождения Санкт-Петербург, Номер паспорта: 0703035
Имя: Филипп Буров Иванович, Дата Рождения: 1986-12-19, Место рождения Сарыагач, Номер паспорта: 4305015
Имя: Эдуард Коровяк Юхимович, Дата Рождения: 1983-06-04, Место рождения Копыль, Номер паспорта: 9508060
Имя: Харитон Мухин Борисович, Дата Рождения: 1997-12-30, Место рождения Сочи, Номер паспорта: 1204011
Имя: Пётр Субботин Анатолиевич, Дата Рождения: 1989-10-04, Место рождения Саяногорск, Номер паспорта: 7008041
Имя: Трофим Киселёв Сергеевич, Дата Рождения: 1980-06-14, Место рождения Чапаевск, Номер паспорта: 4305015
Имя: Эдуард Макаров Романович, Дата Рождения: 1982-07-24, Место рождения Рубцовск, Номер паспорта: 2402014
Имя: Глеб Абрамов Артёмович, Дата Рождения: 1995-06-06, Место рождения Магадан, Номер паспорта: 8505054
Имя: Прохор Фокин Михайлович, Дата Рождения: 1983-05-11, Место рождения Стерлитамак, Номер паспорта: 0600056
Имя: Йоган Карпов Борисович, Дата Рождения: 1982-12-22, Место рождения Мстиславль, Номер паспорта: 2605030
Имя: Руслан Моисеев Вадимович, Дата Рождения: 1985-12-20, Место рождения Сухиничи, Номер паспорта: 6801038
Имя: Родион Яворивский Александрович, Дата Рождения: 1978-05-26, Место рождения Сарапул, Номер паспорта: 6310002
Имя: Остап Пилипейко Сергеевич, Дата Рождения: 1988-12-30, Место рождения Пинск, Номер паспорта: 5907067
Имя: Денис Лаврентьев Богданович, Дата Рождения: 1996-05-30, Место рождения Шарья, Номер паспорта: 2605030
Имя: Ефрем Моисеев Алексеевич, Дата Рождения: 1980-11-11, Место рождения Воложин, Номер паспорта: 5900029
Имя: Феликс Рымар Валериевич, Дата Рождения: 1981-01-08, Место рождения Муравленко, Номер паспорта: 9005020
Имя: Пётр Повалий Владимирович, Дата Рождения: 1994-03-18, Место рождения Чайковский, Номер паспорта: 0600056
Имя: Шерлок Третьяков Юхимович, Дата Рождения: 1976-12-03, Место рождения Семипалатинск, Номер паспорта: 9105045
Имя: Тимур Козлов Михайлович, Дата Рождения: 1991-07-20, Место рождения Лазоревское, Номер паспорта: 1401067
Имя: Марк Толочко Алексеевич, Дата Рождения: 1997-09-17, Место рождения Мстиславль, Номер паспорта: 3404067
Имя: Эдуард Соколов Сергеевич, Дата Рождения: 1981-01-30, Место рождения Степногорск, Номер паспорта: 5606049
Имя: Лука Пасичник Анатолиевич, Дата Рождения: 1986-12-24, Место рождения Мончегорск, Номер паспорта: 9105045
Имя: Трофим Блинов Сергеевич, Дата Рождения: 1986-07-29, Место рождения Семипалатинск, Номер паспорта: 0909067
Имя: Ждан Гаврилов Васильевич, Дата Рождения: 1981-06-04, Место рождения Старый Оскол, Номер паспорта: 8504047
Имя: Станислав Симоненко Брониславович, Дата Рождения: 1978-05-18, Место рождения Усолье-Сибирское, Номер паспорта: 9311044
Имя: Лука Уваров Михайлович, Дата Рождения: 1986-12-19, Место рождения Мстиславль, Номер паспорта: 5606049
Имя: Вениамин Горобчук Брониславович, Дата Рождения: 1976-09-11, Место рождения Подольск, Номер паспорта: 1401067
Имя: Зуфар Повалий Борисович, Дата Рождения: 1995-05-13, Место рождения Орёл, Номер паспорта: 0909067
Имя: Денис Рымар Платонович, Дата Рождения: 1980-05-01, Место рождения Брагин, Номер паспорта: 2402014
Имя: Игнат Повалий Петрович, Дата Рождения: 1981-01-08, Место рождения Россошь, Номер паспорта: 4309066
Имя: Святослав Андреев Валериевич, Дата Рождения: 1983-05-28, Место рождения Славгород, Номер паспорта: 2811056
Имя: Роман Лановой Анатолиевич, Дата Рождения: 1982-04-24, Место рождения Таганрог, Номер паспорта: 3307009
Имя: Тимофей Горшков Борисович, Дата Рождения: 1996-11-13, Место рождения Орёл, Номер паспорта: 4401058
Имя: Святослав Блинов Михайлович, Дата Рождения: 1979-10-22, Место рождения Тихвин, Номер паспорта: 8505054
Имя: Леонард Семёнов Платонович, Дата Рождения: 1996-01-24, Место рождения Семипалатинск, Номер паспорта: 4309066
Имя: Тимофей Рымар Александрович, Дата Рождения: 1987-07-23, Место рождения Минусинск, Номер паспорта: 5900029
Имя: Корнелий Карпенко-Карый Сергеевич, Дата Рождения: 1995-05-13, Место рождения Миасс, Номер паспорта: 8505054
Имя: Харитон Соловьёв Платонович, Дата Рождения: 1979-06-21, Место рождения Озёрск, Номер паспорта: 1401067
Имя: Эрик Кошелев Валериевич, Дата Рождения: 1990-03-13, Место рождения Чернушка, Номер паспорта: 3307009
Имя: Станислав Карпов Дмитриевич, Дата Рождения: 1978-05-26, Место рождения Хабаровск, Номер паспорта: 6310002
Имя: Жигер Гаврилов Максимович, Дата Рождения: 1980-01-12, Место рождения Мегион, Номер паспорта: 4604015
Имя: Юлиан Уваров Романович, Дата Рождения: 1980-03-01, Место рождения Улан-Удэ, Номер паспорта: 0703035
Имя: Сергей Беляков Викторович, Дата Рождения: 1987-10-03, Место рождения Чебоксары, Номер паспорта: 1506060
Имя: Роман Дроздов Романович, Дата Рождения: 1996-05-30, Место рождения Раменское, Номер паспорта: 0703035
Имя: Цицерон Кириленко Львович, Дата Рождения: 1998-03-26, Место рождения Лазоревское, Номер паспорта: 8504047
Имя: Матвей Кириленко Петрович, Дата Рождения: 1983-05-28, Место рождения Покачи, Номер паспорта: 0703035
Имя: Игнатий Семёнов Анатолиевич, Дата Рождения: 1980-01-12, Место рождения Подольск, Номер паспорта: 6402031
Имя: Назар Коцюбинский Борисович, Дата Рождения: 1995-06-06, Место рождения Санкт-Петербург, Номер паспорта: 0909067
Имя: Гавриил Гришин Платонович, Дата Рождения: 1995-05-13, Место рождения Орск, Номер паспорта: 5900029
Имя: Станислав Дроздов Петрович, Дата Рождения: 1981-01-08, Место рождения Ликино-Дулёво, Номер паспорта: 2105065
Имя: Сергей Денисов Петрович, Дата Рождения: 1989-08-25, Место рождения Советская Гавань, Номер паспорта: 5902028
Имя: Филипп Повалий Михайлович, Дата Рождения: 1976-09-11, Место рождения Покачи, Номер паспорта: 4401058
Имя: Вениамин Повалий Виталиевич, Дата Рождения: 1986-07-29, Место рождения Кустанай, Номер паспорта: 5907067
Имя: Цефас Тимошенко Сергеевич, Дата Рождения: 1982-04-05, Место рождения Омутнинск, Номер паспорта: 3404067
Имя: Динар Максимов Петрович, Дата Рождения: 1977-02-02, Место рождения Воложин, Номер паспорта: 7008041
Имя: Филипп Савельев Артёмович, Дата Рождения: 1994-03-18, Место рождения Петропавловск, Номер паспорта: 6402031
Имя: Болеслав Меркушев Александрович, Дата Рождения: 1997-11-12, Место рождения Советск, Номер паспорта: 0909067
Имя: Феликс Зиновьев Петрович, Дата Рождения: 1989-10-04, Место рождения Переславль-Залесский, Номер паспорта: 0600056
Имя: Евстахий Кириленко Юхимович, Дата Рождения: 1990-11-10, Место рождения Очёр, Номер паспорта: 3607053
Имя: Стефан Третьяков Евгеньевич, Дата Рождения: 1990-11-10, Место рождения Туринск, Номер паспорта: 6310002
Имя: Оскар Костин Виталиевич, Дата Рождения: 1981-01-08, Место рождения Павлодар, Номер паспорта: 4203049
Имя: Игнат Соловьёв Петрович, Дата Рождения: 1984-02-21, Место рождения Снежинск, Номер паспорта: 3307009
Имя: Болеслав Пилипейко Алексеевич, Дата Рождения: 1984-10-29, Место рождения Саранск, Номер паспорта: 0600056
Имя: Роман Максимов Романович, Дата Рождения: 1981-02-03, Место рождения Минск, Номер паспорта: 9508060
Имя: Феликс Смирнов Валериевич, Дата Рождения: 1989-10-04, Место рождения Челябинск, Номер паспорта: 5907067
Имя: Болеслав Новиков Данилович, Дата Рождения: 1996-11-13, Место рождения Минусинск, Номер паспорта: 4309066
Имя: Никита Смирнов Сергеевич, Дата Рождения: 1998-03-26, Место рождения Можайск, Номер паспорта: 4203049
Имя: Иннокентий Соколов Максимович, Дата Рождения: 1989-10-04, Место рождения Лисаковск, Номер паспорта: 5907067
Имя: Руслан Гребневский Петрович, Дата Рождения: 1995-06-06, Место рождения Балхаш, Номер паспорта: 4604015
Имя: Сава Максимов Дмитриевич, Дата Рождения: 1995-05-13, Место рождения Моршанск, Номер паспорта: 3607053
Имя: Геннадий Третьяков Платонович, Дата Рождения: 1979-10-22, Место рождения Могилёв, Номер паспорта: 5900029
Имя: Феликс Блинов Евгеньевич, Дата Рождения: 1983-06-04, Место рождения Лазоревское, Номер паспорта: 9005020
Имя: Лука Костин Анатолиевич, Дата Рождения: 1983-06-04, Место рождения Орша, Номер паспорта: 8504047
Имя: Святослав Меркушев Богданович, Дата Рождения: 1980-01-12, Место рождения Чернушка, Номер паспорта: 1401067
Имя: Стефан Савельев Михайлович, Дата Рождения: 1995-06-17, Место рождения Саров, Номер паспорта: 6801038
Имя: Филипп Горбачёв Михайлович, Дата Рождения: 1989-08-31, Место рождения Можайск, Номер паспорта: 0703035
Имя: Цицерон Андреев Артёмович, Дата Рождения: 1984-02-21, Место рождения Тбилисская, Номер паспорта: 1401067
Имя: Родион Ерёменко Романович, Дата Рождения: 1985-12-21, Место рождения Тольятти, Номер паспорта: 2402014
Имя: Пётр Савельев Александрович, Дата Рождения: 1995-03-03, Место рождения Москва, Номер паспорта: 4702003
Имя: Прохор Гребневский Сергеевич, Дата Рождения: 1997-12-30, Место рождения Миасс, Номер паспорта: 6801038
Имя: Никита Ерёменко Романович, Дата Рождения: 1998-03-26, Место рождения Кокчетав, Номер паспорта: 9311044
Имя: Алексей Пилипейко Борисович, Дата Рождения: 1992-01-20, Место рождения Тихорецк, Номер паспорта: 1204011
Имя: Юлиан Мирный Платонович, Дата Рождения: 1998-09-21, Место рождения Шарья, Номер паспорта: 2010011
Имя: Прохор Андреев Фёдорович, Дата Рождения: 1996-01-24, Место рождения Копыль, Номер паспорта: 1401067
Имя: Эдуард Беляков Викторович, Дата Рождения: 1995-06-06, Место рождения Холмск, Номер паспорта: 4408066
Имя: Иосиф Панфилов Анатолиевич, Дата Рождения: 1992-01-20, Место рождения Шатура, Номер паспорта: 4305015
Имя: Ефрем Смирнов Евгеньевич, Дата Рождения: 1983-06-04, Место рождения Ульяновск, Номер паспорта: 1204011
Имя: Денис Карпенко-Карый Виталиевич, Дата Рождения: 1984-08-14, Место рождения Старый Оскол, Номер паспорта: 9508060
Имя: Йоган Буров Дмитриевич, Дата Рождения: 1990-03-13, Место рождения Сметаничи, Номер паспорта: 4408066
Имя: Милан Волков Сергеевич, Дата Рождения: 1995-05-13, Место рождения Павловский Посад, Номер паспорта: 2605030
Имя: Евстахий Толочко Владимирович, Дата Рождения: 1992-03-07, Место рождения Урай, Номер паспорта: 2105065
Имя: Йоган Макаров Сергеевич, Дата Рождения: 1989-08-25, Место рождения Миасс, Номер паспорта: 4305015
Имя: Чеслав Горбунов Богданович, Дата Рождения: 1981-01-30, Место рождения Лиски, Номер паспорта: 4604015
Имя: Филипп Лаврентьев Брониславович, Дата Рождения: 1976-09-11, Место рождения Можга, Номер паспорта: 0703035
